nm/pH,0.3,3.45,3.79,4.3,4.7,5.07,13
476,0.4829,0.4337,0.3916,0.2379,0.1946,0.1946,0.1211
477,0.4714,0.423,0.3841,0.2365,0.1961,0.1961,0.1255
478,0.4612,0.4135,0.377,0.2355,0.198,0.198,0.13
479,0.4502,0.4032,0.3695,0.2345,0.2,0.2,0.1348
480,0.4388,0.3932,0.3625,0.2337,0.2024,0.2024,0.14
481,0.4268,0.3823,0.3545,0.2331,0.2051,0.2051,0.1455
482,0.4164,0.373,0.3477,0.2322,0.2073,0.2073,0.1505
483,0.4079,0.3658,0.3426,0.2318,0.2092,0.2092,0.1549
484,0.4001,0.3585,0.3376,0.2314,0.211,0.211,0.1586
485,0.3917,0.3509,0.3325,0.2312,0.2131,0.2131,0.1631
486,0.3835,0.3437,0.3277,0.2311,0.2155,0.2155,0.1674
487,0.374,0.3357,0.3219,0.2313,0.2185,0.2185,0.173
488,0.363,0.3257,0.3155,0.2313,0.2219,0.2219,0.1794
489,0.3536,0.3176,0.31,0.2317,0.2253,0.2253,0.185
490,0.3432,0.3094,0.3048,0.2322,0.2288,0.2288,0.1911
491,0.3343,0.3021,0.3002,0.2328,0.2321,0.2321,0.1967
492,0.3262,0.2953,0.2959,0.2336,0.2354,0.2354,0.2024
493,0.3179,0.2887,0.2915,0.2344,0.239,0.239,0.2083
494,0.3094,0.2816,0.2873,0.2355,0.243,0.243,0.2146
495,0.3001,0.2746,0.2829,0.2368,0.2472,0.2472,0.2215
496,0.2892,0.2662,0.2777,0.2387,0.2529,0.2529,0.2295
497,0.2796,0.2586,0.2734,0.2405,0.2582,0.2582,0.2375
498,0.2715,0.2525,0.2701,0.2422,0.2627,0.2627,0.2441
499,0.263,0.2463,0.2667,0.2445,0.2678,0.2678,0.252
500,0.2549,0.2403,0.2636,0.2469,0.2732,0.2732,0.2597
501,0.2462,0.2341,0.2604,0.2494,0.2792,0.2792,0.2681
502,0.2381,0.2282,0.2576,0.2522,0.2849,0.2849,0.276
503,0.2306,0.2233,0.2554,0.255,0.2909,0.2909,0.284
504,0.2229,0.2177,0.253,0.2583,0.297,0.297,0.293
505,0.2151,0.2128,0.251,0.2616,0.304,0.304,0.3022
506,0.2083,0.2084,0.2496,0.2649,0.3102,0.3102,0.3105
507,0.2008,0.2037,0.248,0.2691,0.3177,0.3177,0.3204
508,0.1935,0.1993,0.2468,0.2734,0.3255,0.3255,0.3301
509,0.1863,0.1953,0.2457,0.2776,0.333,0.333,0.34
510,0.18,0.1914,0.2453,0.2827,0.3407,0.3407,0.3502
